PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
kEoYy,8/1p6/1n1p4/3Pkp1p/1P1R2pP/3BK1P1/1r3P2/8 w - - 4 38,d4f4 b6d5,898,96,58,57,endgame mate mateIn1 oneMove,https://lichess.org/9PoExrDh#75,
MH3za,r3r2k/3R4/4qpp1/p1p4p/Pn5Q/5N1P/1P2nPP1/3R1K2 b - - 0 32,a8d8 d7d8 e8d8 d1d8,851,99,95,177,advantage middlegame short,https://lichess.org/qIKV8aM0/black#64,
jzlFt,rn2kb1r/1bq2ppp/p3p3/8/Pn1N4/5P2/1P1BN1PP/R2QKB1R w KQkq - 0 14,a1c1 b4d3,840,83,65,45,mate mateIn1 oneMove opening,https://lichess.org/F5seVYtn#27,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
z5SvA,4rrk1/6pp/2b5/p1P2B2/5q2/P7/2Q3PP/4RR1K w - - 0 28,f1f4 e8e1 f4f1 e1f1,863,90,75,190,hangingPiece mate mateIn2 middlegame short,https://lichess.org/pD9DwRaV#55,
jKvEf,2bq1rk1/3n1ppp/2p1pn2/4P3/1p1P4/4rP2/2Q1N1PP/1BR2RK1 b - - 0 17,f6d5 c2h7,685,117,98,490,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/3j9JdNja/black#34,Slav_Defense Slav_Defense_Slav_Gambit
XvTLD,3r1rk1/pp1q1ppp/8/3nQ3/8/1P6/PB3PPP/RN4K1 b - - 0 17,f8e8 e5g7,819,91,98,681,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/odTDyMkw/black#34,French_Defense French_Defense_Knight_Variation
QOrcX,r3r1k1/pppq1ppp/2n5/8/3PN3/4Pb2/PPBB1P1K/RQ2R3 b - - 0 18,e8e4 c2e4 f3e4 b1e4,740,79,87,228,advantage middlegame short,https://lichess.org/EWmEcFlh/black#36,Queens_Gambit_Declined Queens_Gambit_Declined_Queens_Knight_Variation
NpLpv,1b2r1k1/5rpp/1pQ1pp2/q1p5/8/4B3/P4PPP/R1R3K1 b - - 5 30,f7c7 c6e8,877,88,85,313,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Qcsx7Fvr/black#60,
Fh0mq,6r1/bpp1np1r/p2pk3/4p3/1P1PP1P1/2P2NKP/P4P2/R4R2 b - - 0 24,e7g6 f3g5 e6e7 g5h7,671,90,98,453,advantage fork middlegame short,https://lichess.org/O6TQm0gP/black#48,
aS17f,3bk3/pb3pp1/4p2p/1BB1p3/4P3/1P6/P1P3PP/6K1 b - - 2 24,b7c6 b5c6,450,99,52,99,bishopEndgame doubleBishopMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/HUT4OscA/black#48,
YINGn,2brr1k1/pp3ppp/2p5/5P2/3P3q/1P1B3P/P3RBP1/4Q1K1 b - - 4 27,h4f6 e2e8 d8e8 e1e8,608,97,70,88,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/l64BxKeT/black#54,
FCg03,3r3k/8/Q1pr3p/6p1/8/8/PP6/K2q1RR1 w - - 1 50,f1d1 d6d1 g1d1 d8d1,597,110,82,461,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/rOGi585D#99,
2dHKt,r4rk1/ppp2ppp/3q4/n2p1Q2/3P4/2PB4/PP1K1PPP/4R2R b - - 0 15,d6b6 f5h7,640,119,97,362,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/3S3YGvzF/black#30,Queens_Pawn_Game Queens_Pawn_Game_London_System
QSWda,rnbqkb1r/pp2pp2/2p1P2p/6p1/2P1n3/1P6/PB1P2PP/RN1QKBNR b KQkq - 0 8,f7f6 d1h5,661,97,94,607,mate mateIn1 middlegame oneMove,https://lichess.org/DDsdhNZc/black#16,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
UQesU,6k1/3b2p1/5pPp/4pP2/1p1pP1BP/1P1P4/r1PK4/5R2 w - - 2 32,d2c1 a2a1 c1d2 a1f1,505,104,93,482,crushing endgame short skewer,https://lichess.org/lS45pKeF#63,
W3qP6,6k1/p4pp1/6p1/8/5P2/1P4R1/r4rPP/3R2K1 b - - 6 38,f2f4 d1d8 g8h7 g3h3 f4h4 h3h4,862,83,98,2225,endgame long mate mateIn3 rookEndgame,https://lichess.org/TgfPm5TI/black#76,
1ABgf,7k/2R4p/5b1B/8/8/7P/P4PP1/1r4K1 w - - 1 35,g1h2 f6e5 g2g3 e5c7,854,83,97,3385,advantage endgame fork short,https://lichess.org/IOrCqSc7#69,
SQjrw,6k1/5pp1/4p2p/3pP2r/pq6/3Q4/5PP1/1R4K1 b - - 1 34,b4h4 b1b8 h4d8 b8d8,843,76,100,149,endgame mate mateIn2 short,https://lichess.org/mh0dqFIK/black#68,
QuyGq,r2q2kr/3b2b1/1p1p2p1/pP2p1Np/2PpPpn1/3P3P/P3BPPN/1R1Q2RK w - - 14 25,g5f3 g4f2,681,99,96,404,kingsideAttack master mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/ahBvy2Rz#49,
fjjZi,1r6/p1p4p/3b2k1/3B1N2/3P4/2P3Pb/PP2r2P/R1B2RK1 w - - 1 23,f1f2 e2e1 f2f1 e1f1,738,83,95,248,kingsideAttack mate mateIn2 middlegame operaMate short,https://lichess.org/GrxtfXUD#45,
L64Kv,2r1k3/1p3p1p/3Bp1p1/p2q4/3pN3/1P3PQP/n5PK/8 b - - 3 30,e8d7 e4f6 d7c6 f6d5,858,82,91,382,advantage endgame fork short,https://lichess.org/onIjMiRO/black#60,
TfpCr,r2r3k/pp1q2pp/1b3p2/4p3/1Pb5/B1PP2Q1/5PPP/R2R2K1 w - - 0 24,d3c4 d7d1 a1d1 d8d1,507,108,82,852,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/RlZ9cyqK#47,
JZO9o,3r1r1k/p1q1b1pp/5N2/8/5p1Q/P1P5/1PB3PP/R6K b - - 0 33,g7g5 h4h7,572,99,99,1402,mate mateIn1 middlegame oneMove,https://lichess.org/eulNOfEf/black#66,
GNoNd,r2qr1k1/pb3ppp/1p6/3p2B1/2n1P1n1/2NQ1P2/PPB1N1PP/R5RK w - - 1 17,g5d8 g4f2,768,117,75,42,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/s3vt4dgq#33,English_Defense English_Defense_Other_variations
O2YG8,2N3k1/R4pp1/P1b1p2p/8/1r6/8/5P2/5K2 b - - 2 33,b4a4 c8e7 g8h7 e7c6,849,85,100,38,advantage endgame fork short,https://lichess.org/c9V3gCDe/black#66,
qUurc,4k3/5r2/3K4/8/8/8/8/7R b - - 6 58,f7e7 h1h8 e8f7 h8h7 f7g6 h7e7,879,82,99,812,crushing deflection endgame exposedKing long master masterVsMaster rookEndgame skewer,https://lichess.org/mbhFf6sk/black#116,
1YelJ,1rb2rk1/pp1p1Qpp/8/8/2B5/8/Pq3PPP/R3R1K1 b - - 0 17,f8f7 e1e8,735,81,98,869,mate mateIn1 middlegame oneMove pin,https://lichess.org/tff1ObEl/black#34,Sicilian_Defense Sicilian_Defense_Alapin_Variation
IU882,4r2k/5ppp/p1Q5/8/4P3/7P/P3qPP1/6K1 b - - 0 29,e2a2 c6e8,454,92,83,268,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/pFl9WsuB/black#58,
RXsw4,8/p2Q2p1/3P1pkp/8/8/1P2b1P1/P6P/1KB1q3 w - - 29 47,d7e7 e1c1,620,85,100,385,endgame master mate mateIn1 oneMove,https://lichess.org/pqZ8nJAg#93,
R3doM,4r1k1/1pq2p2/2p1bPp1/p2p2P1/P2R4/2P2B2/1P3P2/4Q1K1 w - - 1 30,g1g2 e6h3 g2h3 e8e1,853,81,91,762,crushing discoveredAttack endgame master short,https://lichess.org/M7pYxtZn#59,
AXRcl,b3r1k1/2R2R1p/p4bp1/1p6/8/P7/5NPP/7K w - - 1 34,h2h3 e8e1 h1h2 f6e5,833,92,100,50,advantage endgame short,https://lichess.org/9AJyF8C6#67,
yvJuB,2r3k1/1q1pb1p1/4pr2/p5N1/1P1P1PK1/P1pQ4/R7/8 b - - 0 32,b7d5 d3h7 g8f8 h7h8,817,78,95,212,mate mateIn2 middlegame short,https://lichess.org/FuGxMhHv/black#64,
iMW47,2kr3r/ppp2pp1/5np1/2b5/2p5/P5P1/1PnNPPBP/1RB2K1R w - - 0 16,d2c4 d8d1,760,92,97,226,mate mateIn1 middlegame oneMove,https://lichess.org/vRlpa7jc#31,Englund_Gambit Englund_Gambit_Other_variations
DqwtY,r1bq1rk1/pppnbppp/4p3/3pP3/5B2/2PBP3/PP1N1PPP/R2QK2R w KQ - 1 10,d3h7 g8h7,708,124,50,52,advantage hangingPiece oneMove opening,https://lichess.org/xFV7xuEt#19,Indian_Defense Indian_Defense_Other_variations
2JIZ7,5r1B/ppp4R/8/8/7P/1P1k4/1P6/2K5 w - - 1 32,h8c3 f8f1 c3e1 f1e1,448,104,76,149,endgame mate mateIn2 short,https://lichess.org/O1BOxiCg#63,
EpSIp,r2qk2r/1b4pp/p2bpp2/1pppN2Q/3P1P2/2PBP3/PP4PP/R4RK1 b kq - 1 14,e8e7 h5f7,828,94,96,182,mate mateIn1 middlegame oneMove,https://lichess.org/PWjHsJZ3/black#28,Polish_Defense Polish_Defense_Other_variations
eWCRc,6k1/2R2ppp/4p3/1b6/5P2/6P1/5PKP/r7 b - - 1 23,a1a6 c7c8 b5e8 c8e8,564,102,63,98,backRankMate endgame mate mateIn2 short,https://lichess.org/BydPmV3q/black#46,
DYLaX,5Qk1/p4p1p/1b4p1/5N2/3P4/4p2P/PP3PPq/2R2K2 b - - 0 26,g8f8 c1c8 b6d8 c8d8,687,88,100,43,endgame mate mateIn2 short,https://lichess.org/ENek09Te/black#52,
2zgrm,1k6/ppp2q2/8/1PPP3p/P2Q4/6pP/5RK1/8 b - - 0 38,g3f2 d4h8 f7e8 h8e8,817,81,88,66,backRankMate endgame mate mateIn2 queenEndgame short,https://lichess.org/4zRr83fd/black#76,
GCT6c,3Q1rk1/2R2pp1/7p/2P1p3/2Q5/5PKP/pq4P1/8 b - - 0 37,f8d8 c4f7 g8h8 f7g7,882,78,100,109,endgame mate mateIn2 short,https://lichess.org/4h4rZtNc/black#74,
l1cyl,rnR2rQk/pp1n2pp/7N/q5B1/3P4/8/P4PPP/5RK1 b - - 8 20,f8g8 c8g8,656,115,96,1008,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/lnPYYhoX/black#40,
3tQ5Q,r1r3k1/2pq1p1p/3p1P2/p5QP/1p1nP1P1/3P4/PP6/2KR3R b - - 0 27,g8f8 g5g7 f8e8 g7g8,776,80,99,598,mate mateIn2 middlegame short,https://lichess.org/7yNS7JzG/black#54,
PiTAg,6rk/1p2Q2p/p2R4/5q2/5p1P/5B2/P1P2P2/4R1K1 w - - 6 37,g1h1 f5h3,672,84,94,356,endgame mate mateIn1 oneMove,https://lichess.org/1oFoinOs#73,
xs9lR,8/1p4R1/p1b4p/4r2k/8/2PB2KP/P4PP1/8 w - - 1 36,f2f4 e5e3 g3f2 e3d3,795,82,100,231,advantage endgame fork master short,https://lichess.org/vEieP4Uq#71,
h293z,3q4/p1p4Q/2nkrp1B/8/1P1bB3/P7/5PPP/4R1K1 w - - 0 29,e4c6 e6e1,858,79,97,1801,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/79eIeHQd#57,
dEJX7,4r1k1/p3Rppp/1ppq1b2/3p4/N2P2Q1/1PP4P/P4PP1/R5K1 b - - 0 20,e8e7 g4c8 e7e8 c8e8,891,103,63,32,crushing endgame kingsideAttack short,https://lichess.org/toBNyaDN/black#40,
vB0hR,r3r1k1/ppp2ppp/8/8/1n6/2Q2N2/PP1P1PPP/R1B1q1K1 w - - 6 21,f3e1 e8e1,563,100,69,214,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/GlefmGdd#41,
wF2gp,8/1B3pkp/6p1/p1p1Pn2/1bK4P/6P1/1P6/R7 w - - 6 39,b7d5 f5e3 c4d3 e3d5,749,106,95,1877,advantage deflection endgame master short,https://lichess.org/uDrYXT5E#77,
MNzce,1kr5/pp1Q1p2/6p1/3N4/3n4/P5P1/1P1q1P2/6KR b - - 2 33,c8c1 g1g2 d2f2 g2f2,788,77,100,626,crushing endgame short,https://lichess.org/JrrcrWw2/black#66,
X7PCt,8/p4k1p/1p3pp1/8/4P3/1K1b1PP1/6NP/8 b - - 2 38,f7e6 g2f4 e6e5 f4d3,716,104,81,357,advantage endgame fork short,https://lichess.org/kFtukt2X/black#76,
Z4Zzk,3r4/2p2k2/2Q4p/4pr2/4P3/3P2q1/PPP3PN/7K w - - 0 30,e4f5 g3e1 h2f1 e1f1,802,79,89,53,advantage endgame master short,https://lichess.org/l2ak8EX2#59,
eyv49,2r5/3p4/p7/4R2p/2P1nk2/P6P/8/3R3K w - - 7 44,e5e7 e4f2 h1g2 f2d1,822,104,96,172,advantage endgame fork master short,https://lichess.org/52emQzDA#87,
6rPKP,r5k1/pp3p1p/3N2p1/q1n5/3b4/6B1/PPQ2PPP/2R1r1K1 w - - 0 19,c1e1 a5e1,633,97,99,1090,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/AeV8eUs0#37,Sicilian_Defense Sicilian_Defense_Canal_Attack
xQp3D,r4k2/4bp2/p3p3/2P1Pp2/2p4R/1PqB1b1P/P4B1K/6R1 b - - 1 35,c3d3 h4h8,719,79,100,270,master mate mateIn1 middlegame oneMove,https://lichess.org/nDjf5yKv/black#70,
bRK0f,3b1kQ1/p4p2/1p2qN1p/2p1P1pP/P2n1PP1/8/1P6/7K b - - 5 37,f8e7 g8e8,861,78,100,161,endgame mate mateIn1 oneMove,https://lichess.org/AIKLJXSo/black#74,
Y2QSr,r5kr/1p2Qppp/p7/3p4/Bn3P2/2P4n/1Pb3PP/R1B1R1qK w - - 5 24,e1g1 h3f2,885,87,100,118,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/tSeQq3T1#47,
dBTP9,r2k3r/ppN1bp1p/4b1nQ/2p5/8/7P/qPPB1PP1/2KR1B1R w - - 2 17,c7a8 a2a1,739,81,100,55,mate mateIn1 middlegame oneMove,https://lichess.org/gkJL3D4z#33,Scotch_Game Scotch_Game_Lolli_Variation
l8ioH,2r1r1k1/5ppp/5b2/p1pPp3/PpP2nq1/3B1N2/1PQ2PPP/R3R1K1 w - - 1 25,d3f5 g4g2,672,82,100,912,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/U9UbUqAt#49,
icgs6,2r3k1/pp3p1p/6p1/3R4/8/8/PP3PPP/6K1 w - - 1 23,d5d2 c8c1 d2d1 c1d1,586,102,50,190,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/BsbBbLfd#45,
bXKQK,8/3k4/p2p3r/2pN1p2/PrP4p/4PR1P/5KP1/8 b - - 2 40,h6h5 d5f6 d7c6 f6h5,823,77,100,406,advantage endgame fork master short,https://lichess.org/mnUa0Nag/black#80,
EPCQL,8/1R3p2/7p/k5p1/5rK1/5P1P/6P1/8 w - - 6 41,g4h5 f4h4,547,105,90,323,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/QzXGM3sf#81,
LkZUg,2rR2k1/5ppp/8/q7/P7/2r2N1P/3Q1PP1/3R2K1 b - - 4 31,c8d8 d2d8 a5d8 d1d8,592,97,38,64,backRankMate endgame mate mateIn2 short,https://lichess.org/jyXdb8L5/black#62,
H4y7c,8/1b2kp1p/1P2p1p1/PK4P1/8/7P/6P1/8 b - - 7 38,e6e5 a5a6 b7a6 b5a6,715,96,94,2390,bishopEndgame crushing endgame short,https://lichess.org/KSNsbZJR/black#76,
cCJZI,8/8/1pb1kpp1/p1p5/2P2KPp/1P3P2/P4B1P/8 w - - 0 33,f2h4 g6g5 h4g5 f6g5 f4g5 c6f3,850,90,92,126,advantage bishopEndgame endgame fork long,https://lichess.org/XAYvHOeV#65,
XSWow,r2q1rk1/1b3pbp/p7/1p1p1Q2/8/3BR3/P1P3PP/1R4K1 b - - 0 21,d8f6 f5h7,724,83,86,299,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/FtpQ7F4S/black#42,
M6PEY,rn2kbnr/pBp1ppp1/8/8/2p5/2N3Pq/PP1PP2P/R1BQ1RK1 w kq - 1 10,b7a8 h3h2,837,77,80,126,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/bJMZiBfL#19,Reti_Opening Reti_Opening_Reti_Accepted
INeJt,rn1qkbnr/pp2p1p1/2p1P2p/3p4/3P3P/3Q4/PPP2P2/RNB1K1NR b KQkq - 0 9,g8f6 d3g6,719,84,100,154,mate mateIn1 oneMove opening,https://lichess.org/lxrCFWQp/black#18,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
uAWT1,8/1b6/p2k4/6R1/2B3P1/1P2K2r/8/8 w - - 1 51,e3f4 h3f3,805,94,100,28,endgame mate mateIn1 oneMove,https://lichess.org/GpVibnwb#101,
